,good,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,,,,,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,-49400,1282400,-1000,-1000,800,-800,-800,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.981,0.998,0.781,0.893,0.8,0.5,0.5,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:02:36,0:01:06,0:01:36,0:05:06,0:08:06,0:09:06,0:09:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:00:24,?????,0:02:12,0:04:54,0:06:51,0:08:36,0:09:51,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:36,0:00:06,0:00:36,0:04:06,0:07:06,0:08:06,0:08:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:03:36,0:02:06,0:02:36,0:06:06,0:09:06,0:10:06,0:10:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,best,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,,OUT-,OUT-,,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,-71000,648400,-800,800,-800,800,-800,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.993,0.999,0.5,0.5,0.5,0.5,0.571,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:36,0:01:06,0:06:06,0:05:06,0:07:36,0:04:36,0:07:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,?????,?????,0:05:21,0:04:21,0:08:21,0:04:06,0:08:06,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:00:36,0:00:06,0:05:06,0:04:06,0:06:36,0:03:36,0:06:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:02:36,0:02:06,0:07:06,0:06:06,0:08:36,0:05:36,0:08:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,best,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,,OUT-,,OUT-,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,-90800,344800,800,-1400,1000,400,-800,?????,?????,?????,?????,?????,Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.974,1,0.5,0.817,0.781,0.333,0.5,?????,?????,?????,?????,?????,R-Squared [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:01:36,0:01:06,0:05:36,0:06:36,0:04:36,0:02:36,0:06:06,?????,?????,?????,?????,?????,t at Max V [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:00:20,0:00:07,0:04:51,0:05:53,0:04:00,0:01:36,0:05:21,?????,?????,?????,?????,?????,Lagtime [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:00:36,0:00:06,0:04:36,0:05:36,0:03:36,0:01:36,0:05:06,?????,?????,?????,?????,?????,Max V Calc - t min [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0:02:36,0:02:06,0:06:36,0:07:36,0:05:36,0:03:36,0:07:06,?????,?????,?????,?????,?????,Max V Calc - t max [540,590],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,good,best,OUT-,OUT-,OUT-,OUT-,OUT-,?????,?????,?????,?????,?????,Symbols (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OUT-,,,OUT-,,,OUT-,?????,?????,?????,?????,?????,Symbols (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutoffs (R-Squared [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cutoffs (Max V [540,590]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formula,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
